Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens,Emocion
4/23/2024 19:48:07,PFNKXS54,"Cuando estoy dando clases, cuando puedo salir a divertirme con mis amigos, si veo a una persona que me gusta o me agrada su compañía, al escuchar la música que más me gusta, platicar con una persona que muestra interés por mi, si comparto tiempo con mi familia, estando acostado y me invade una paz y tranquilidad.","Cuando estoy dando clases, cuando puedo salir a divertirme con mis amigos, si veo a una persona que me gusta o me agrada su compañía, al escuchar la música que más me gusta, platicar con una persona que muestra interés por mi, si comparto tiempo con mi familia, estando acostado y me invade una paz y tranquilidad.",84,Felicidad
4/23/2024 19:48:07,MKZUPRJI,Cuando me sale algo bn en la escuela y trabajo ,Cuando me sale algo bien en la escuela y trabajo,10,Felicidad
4/23/2024 19:48:07,UJCL56SG,"En ver recuerdos, pensar escenarios imaginarios","En ver recuerdos, pensar escenarios imaginarios",12,Felicidad
4/23/2024 19:48:07,B2KUCT4P,"Cuando paso tiempo con mis amigos, como salir a comer o a lugares","Cuando paso tiempo con mis amigos, como salir a comer o a lugares",14,Felicidad
4/23/2024 19:48:07,GXLRPJ5F,"Cuando hago algo y recibo halagos sobre eso, cuando hago ejercicio, cuando escucho podcast de motivación, mejora personal, etc","Cuando hago algo y recibo halagos sobre eso, cuando hago ejercicio, cuando escucho podcast de motivación, mejora personal, etc",33,Felicidad
4/23/2024 19:48:07,U1856WJ8,Al estar con mi gata y estando con mis amistades,Al estar con mi gata y estando con mis amistades,12,Felicidad
4/23/2024 19:48:07,ADDP44O9,Al entregar mis tareas o proyectos y regresar a mi casa los fines de semana,Al entregar mis tareas o proyectos y regresar a mi casa los fines de semana,16,Felicidad
4/23/2024 19:48:07,EL85BQ8X,Cuando veo a mis amigos ,Cuando veo a mis amigos,6,Felicidad
4/23/2024 19:48:07,9LGMBDLF,"Al estar con mi novio, salir al aire libre, pasar el rato con amigos","Al estar con mi novio, salir al aire libre, pasar el rato con amigos",18,Felicidad
4/23/2024 19:48:07,TUW6M31C,"Cuando estoy con mi familia, cuando dedico tiempo para cuidar mi aspecto. Estando con mis amigos o también haciendo ejercicio","Cuando estoy con mi familia, cuando dedico tiempo para cuidar mi aspecto. Estando con mis amigos o también haciendo ejercicio",26,Felicidad
